id,route,area,type,purpose,orientation,aspectRatio,focalPoint,recommendedResolution,framing,formats,priority,status,expectedSourceFile,loading,altGuidance,consentRequired
"home.hero-video","/","Hero","video","Installer Strongbear par une démonstration réelle et précise de Jiu-Jitsu Brésilien.","Paysage","4:3","Les deux pratiquants au centre du cadre","Master actuel 640×480, exports 640×480 et 480×360","Démonstration technique authentique, cadrage central et zone assombrie sous le titre","Master H.264, WebM VP9 et MP4 H.264","P0","verified-academy","home-hero-video-master.mp4","metadata","Démonstration technique de Jiu-Jitsu Brésilien chez Strongbear à Marines","true"
"home.hero-backup","/","Hero poster","image","Image de secours du hero et poster de la vidéo, immédiatement lisible avant lecture.","Paysage","3:2","Interaction coach-pratiquant au centre-droit","3600×2400 minimum","Plan large immersif, profondeur de salle, zone sombre et calme à gauche pour le texte","JPEG source, AVIF et WebP générés","P0","temporary-active","bjj-hero.jpg","eager","Entraînement technique au sol chez Strongbear à Marines","true"
"home.why-strongbear","/","Pourquoi Strongbear","image","Montrer la pédagogie et la précision technique plutôt qu’une pose de club.","Paysage panoramique","20:9","Mains du coach et élèves attentifs","2400×1080 minimum","Démonstration lisible, profils naturels, tatami vivant en arrière-plan","JPEG source, AVIF et WebP générés","P0","temporary-active","bjj-class.jpg","lazy","Coach Strongbear décomposant une technique devant les élèves","true"
"home.coaches","/","Coachs","image","Présenter l’équipe comme des enseignants accessibles et exigeants.","Paysage","3:2","Regards naturels des coachs","3000×2000 minimum","Équipe dans le dojo après une séance, posture détendue, aucun bras croisé imposé","JPEG source, AVIF et WebP générés","P0","awaiting-authentic","home-coaches.jpg","lazy","Équipe enseignante Strongbear dans l’académie de Marines","true"
"home.schedule-illustration","/","Planning","illustration","Soutenir visuellement le rythme hebdomadaire sans remplacer les informations accessibles.","Paysage","4:3","Repères temporels simples","2400×1800 minimum","Composition abstraite inspirée des lignes du tatami, sans texte indispensable","PNG source transparent, WebP et AVIF générés","P2","awaiting-authentic","home-schedule-illustration.png","lazy","Illustration décorative du rythme d’entraînement","false"
"home.testimonial-adult","/","Témoignages adultes","image","Humaniser un témoignage adulte avec une personne réellement consentante.","Portrait","4:5","Regard et expression naturelle","2000×2500 minimum","Portrait pris après le cours, fond dojo doux, pas de pose guerrière","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","home-testimonial-adult.jpg","lazy","Pratiquant adulte Strongbear après un entraînement","true"
"home.testimonial-parent","/","Témoignages parents","image","Associer le témoignage parent à une présence réelle et rassurante.","Portrait","4:5","Visage du parent ou interaction discrète avec l’enfant","2000×2500 minimum","Moment naturel en bord de tatami, identité de l’enfant protégée si nécessaire","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","home-testimonial-parent.jpg","lazy","Parent d’un élève Kids accueilli chez Strongbear","true"
"home.testimonial-competitor","/","Témoignages compétiteurs","image","Montrer un projet compétition sans agressivité ni triomphalisme artificiel.","Portrait","4:5","Concentration avant ou sourire après l’effort","2000×2500 minimum","Portrait documentaire, tenue réelle, médaille uniquement si l’événement est vérifiable","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","home-testimonial-competitor.jpg","lazy","Compétiteur Strongbear dans un contexte d’entraînement ou d’événement","true"
"home.kids-preview","/","Aperçu Kids","image","Donner envie aux parents d’explorer l’offre Kids grâce à une scène d’apprentissage joyeuse.","Paysage","3:2","Sourire et interaction pédagogique","3000×2000 minimum","Groupe réduit, lumière naturelle, coach visible, aucune confrontation dure","JPEG source, AVIF et WebP générés","P0","temporary-active","kids-martial-arts.jpg","lazy","Enfants apprenant un exercice de Jiu-Jitsu avec un coach Strongbear","true"
"home.final-cta","/","CTA final","image","Clore la page sur l’accueil et l’appartenance à l’équipe.","Paysage","16:9","Salutation, poignée de main ou photo de groupe sincère","3200×1800 minimum","Plan large avec espace négatif pour le CTA, émotion après l’effort","JPEG source, AVIF et WebP générés","P1","awaiting-authentic","home-final-cta.jpg","lazy","Pratiquants Strongbear réunis après un entraînement","true"
